1,1,1,1
1,10,1,1
1,100,1,1
1,1000,1,1
1,10000,1,1
10,1,0.32192809488736235,2
10,10,1,3.321928094887362
10,100,1,3.321928094887362
10,1000,1,3.321928094887362
10,10000,1,3.321928094887362
100,1,0.2630344058337938,2.321928094887362
100,10,1,4.087462841250339
100,100,1,6.643856189774724
100,1000,1,6.643856189774724
100,10000,1,6.643856189774724
1000,1,0.19264507794239583,2.4594316186372973
1000,10,0.5849625007211562,5.044394119358453
1000,100,1,9.965784284662087
1000,1000,1,9.965784284662087
1000,10000,1,9.965784284662087
10000,1,0.0874628412503394,3.169925001442312
10000,10,0.32192809488736235,5.882643049361842
10000,100,1,13.287712379549449
10000,1000,1,13.287712379549449
10000,10000,1,13.287712379549449
